Game,Winner,0,1,2,3,4,5,6,7,8
72,O,X,X,O,O,O,X,,,X
72,O,X,X,O,O,O,X,O,,X
73,O,,,,,,,,,X
73,O,,,,,O,,,,X
73,O,X,,,,O,,,,X
73,O,X,,,,O,,,O,X
73,O,X,,,,O,X,,O,X
73,O,X,O,,,O,X,,O,X
74,O,,,,,,,,,X
74,O,,,,,O,,,,X
74,O,X,,,,O,,,,X
74,O,X,,,O,O,,,,X
74,O,X,,,O,O,X,,,X
74,O,X,,O,O,O,X,,,X
74,O,X,X,O,O,O,X,,,X
74,O,X,X,O,O,O,X,O,,X
75,X,,,,,,,,,X
75,X,,,O,,,,,,X
75,X,X,,O,,,,,,X
75,X,X,,O,,O,,,,X
75,X,X,,O,,O,X,,,X
75,X,X,O,O,,O,X,,,X
75,X,X,O,O,,O,X,X,,X
75,X,X,O,O,O,O,X,X,,X
75,X,X,O,O,O,O,X,X,X,X
76,O,,,,,,,,,X
76,O,,,,,O,,,,X
76,O,X,,,,O,,,,X
76,O,X,,,,O,,,O,X
76,O,X,,,,O,X,,O,X
76,O,X,,,O,O,X,,O,X
76,O,X,,,O,O,X,X,O,X
76,O,X,O,,O,O,X,X,O,X
77,O,,,,,,,,,X
77,O,,,,,O,,,,X
77,O,X,,,,O,,,,X
77,O,X,,,,O,,,O,X
77,O,X,,,,O,X,,O,X
77,O,X,O,,,O,X,,O,X
78,O,,,,,,,,,X
78,O,,,,,O,,,,X
78,O,X,,,,O,,,,X
78,O,X,,,,O,,,O,X
78,O,X,,,,O,X,,O,X
78,O,X,O,,,O,X,,O,X
79,X,,,X,,,,,,
79,X,,,X,,O,,,,
79,X,,,X,,O,,,,X
79,X,,,X,O,O,,,,X
79,X,X,,X,O,O,,,,X
79,X,X,,X,O,O,,,O,X
79,X,X,X,X,O,O,,,O,X
80,X,,X,,,,,,,
80,X,,X,,,O,,,,
80,X,,X,,,O,,,,X
80,X,,X,,O,O,,,,X
80,X,,X,,O,O,X,,,X
80,X,,X,O,O,O,X,,,X
80,X,,X,O,O,O,X,X,,X
80,X,O,X,O,O,O,X,X,,X
80,X,O,X,O,O,O,X,X,X,X
81,O,,,,,,,,,X
81,O,,,,,O,,,,X
81,O,X,,,,O,,,,X
81,O,X,,,,O,,,O,X
81,O,X,,,,O,X,,O,X
81,O,X,,O,,O,X,,O,X
81,O,X,,O,X,O,X,,O,X
81,O,X,O,O,X,O,X,,O,X
82,O,X,,,,,,,,
82,O,X,,,,O,,,,
82,O,X,,,,O,X,,,
82,O,X,,,,O,X,,O,
82,O,X,,,,O,X,,O,X
82,O,X,O,,,O,X,,O,X
83,O,,,,,,,,,X
83,O,,,,,O,,,,X
83,O,X,,,,O,,,,X
83,O,X,,,,O,,,O,X
83,O,X,,,,O,X,,O,X
83,O,X,O,,,O,X,,O,X
84,O,,,,X,,,,,
84,O,,,,X,O,,,,
84,O,,,,X,O,,,,X
84,O,,O,,X,O,,,,X
84,O,X,O,,X,O,,,,X
84,O,X,O,,X,O,,,O,X
85,X,,,,,,,,,X
85,X,,,,,,,,O,X
85,X,X,,,,,,,O,X
85,X,X,,,O,,,,O,X
85,X,X,,X,O,,,,O,X
85,X,X,,X,O,O,,,O,X
85,X,X,,X,O,O,X,,O,X
86,O,,,,,,,,,X
86,O,,,,,O,,,,X
86,O,X,,,,O,,,,X
86,O,X,,,,O,,,O,X
86,O,X,,,,O,X,,O,X
86,O,X,O,,,O,X,,O,X
87,O,,,,,,,,,X
87,O,,,,,O,,,,X
87,O,X,,,,O,,,,X
87,O,X,,,O,O,,,,X
87,O,X,X,,O,O,,,,X
87,O,X,X,,O,O,O,,,X
88,O,,,,,,,,,X
88,O,,,,,O,,,,X
88,O,X,,,,O,,,,X
88,O,X,,,,O,,,O,X
88,O,X,,,,O,X,,O,X
88,O,X,O,,,O,X,,O,X
89,O,,,,,,,,,X
89,O,,,,,O,,,,X
89,O,X,,,,O,,,,X
89,O,X,,,,O,,,O,X
89,O,X,,,,O,X,,O,X
89,O,X,O,,,O,X,,O,X
90,X,,,,,,,,,X
90,X,,,,,O,,,,X
90,X,X,,,,O,,,,X
90,X,X,,,,O,,,O,X
90,X,X,,X,,O,,,O,X
90,X,X,,X,O,O,,,O,X
90,X,X,,X,O,O,X,,O,X
91,O,,,,,,,,,X
91,O,,,O,,,,,,X
91,O,,,O,,,X,,,X
91,O,,,O,,O,X,,,X
91,O,,,O,X,O,X,,,X
91,O,,O,O,X,O,X,,,X
91,O,,O,O,X,O,X,X,,X
91,O,,O,O,X,O,X,X,O,X
92,O,,,,,,,,,X
92,O,,,,,O,,,,X
92,O,,,,,O,X,,,X
92,O,,O,,,O,X,,,X
92,O,X,O,,,O,X,,,X
92,O,X,O,,,O,X,,O,X
93,O,,,,,,,,,X
93,O,,,,,O,,,,X
93,O,X,,,,O,,,,X
93,O,X,,,,O,,,O,X
93,O,X,,,,O,X,,O,X
93,O,X,O,,,O,X,,O,X
94,O,,,,,,,,,X
94,O,,,,,O,,,,X
94,O,X,,,,O,,,,X
94,O,X,,,,O,,,O,X
94,O,X,,,,O,X,,O,X
94,O,X,O,,,O,X,,O,X
95,O,,,,,,,,,X
95,O,O,,,,,,,,X
95,O,O,,,,,X,,,X
95,O,O,,,,,X,O,,X
95,O,O,X,,,,X,O,,X
95,O,O,X,,O,,X,O,,X
96,O,,,,,,,,,X
96,O,,,,,,,O,,X
96,O,,,,,,X,O,,X
96,O,,,,,O,X,O,,X
96,O,,X,,,O,X,O,,X
96,O,,X,O,,O,X,O,,X
97,X,,,,,,,,,X
97,X,,,,O,,,,,X
97,X,X,,,O,,,,,X
97,X,X,,,O,O,,,,X
97,X,X,,,O,O,X,,,X
97,X,X,,O,O,O,X,,,X
97,X,X,,O,O,O,X,X,,X
97,X,X,O,O,O,O,X,X,,X
97,X,X,O,O,O,O,X,X,X,X
98,,,,,,,,,,X
98,,,,,,O,,,,X
98,,,,,,O,,X,,X
98,,,,,O,O,,X,,X
98,,X,,,O,O,,X,,X
98,,X,,O,O,O,,X,,X
98,,X,X,O,O,O,,X,,X
98,,X,X,O,O,O,,X,O,X
98,,X,X,O,O,O,X,X,O,X
99,O,,,,,,,,,X
99,O,,,O,,,,,,X
99,O,X,,O,,,,,,X
99,O,X,,O,,O,,,,X
