Game,Winner,0,1,2,3,4,5,6,7,8
52,X,,X,X,,X,,O,,O
52,X,O,X,X,,X,,O,,O
52,X,O,X,X,X,X,,O,,O
52,X,O,X,X,X,X,O,O,,O
52,X,O,X,X,X,X,O,O,X,O
53,X,,,,,X,,,,
53,X,,,,,X,,,,O
53,X,,X,,,X,,,,O
53,X,,X,,,X,O,,,O
53,X,,X,X,,X,O,,,O
53,X,,X,X,O,X,O,,,O
53,X,X,X,X,O,X,O,,,O
54,O,,,,,X,,,,
54,O,,,,,X,,,,O
54,O,,X,,,X,,,,O
54,O,,X,,,X,,,O,O
54,O,X,X,,,X,,,O,O
54,O,X,X,,,X,,O,O,O
55,X,,,,,X,,,,
55,X,,,O,,X,,,,
55,X,,,O,,X,X,,,
55,X,,,O,,X,X,,O,
55,X,X,,O,,X,X,,O,
55,X,X,,O,,X,X,O,O,
55,X,X,,O,,X,X,O,O,X
56,X,,,,,X,,,,
56,X,,,,,X,O,,,
56,X,,,X,,X,O,,,
56,X,,,X,,X,O,,O,
56,X,X,,X,,X,O,,O,
56,X,X,,X,,X,O,O,O,
56,X,X,,X,,X,O,O,O,X
57,X,,,,,X,,,,
57,X,,,O,,X,,,,
57,X,,,O,,X,X,,,
57,X,,,O,O,X,X,,,
57,X,X,,O,O,X,X,,,
57,X,X,O,O,O,X,X,,,
57,X,X,O,O,O,X,X,,,X
58,X,,,,,X,,,,
58,X,,,O,,X,,,,
58,X,,,O,,X,X,,,
58,X,O,,O,,X,X,,,
58,X,O,,O,X,X,X,,,
59,X,,,,,X,,,,
59,X,,,O,,X,,,,
59,X,,,O,,X,X,,,
59,X,,,O,,X,X,,O,
59,X,X,,O,,X,X,,O,
59,X,X,O,O,,X,X,,O,
59,X,X,O,O,,X,X,X,O,
59,X,X,O,O,O,X,X,X,O,
59,X,X,O,O,O,X,X,X,O,X
60,X,,,,,X,,,,
60,X,,,,,X,,O,,
60,X,,,X,,X,,O,,
60,X,,O,X,,X,,O,,
60,X,,O,X,,X,,O,,X
60,X,,O,X,,X,O,O,,X
60,X,X,O,X,,X,O,O,,X
61,X,,,,,X,,,,
61,X,,,,,X,O,,,
61,X,,,X,,X,O,,,
61,X,,,X,,X,O,,O,
61,X,X,,X,,X,O,,O,
61,X,X,O,X,,X,O,,O,
61,X,X,O,X,,X,O,,O,X
62,X,,,,,X,,,,
62,X,,,,,X,,O,,
62,X,,,X,,X,,O,,
62,X,,,X,O,X,,O,,
62,X,,,X,O,X,X,O,,
62,X,,,X,O,X,X,O,O,
62,X,X,,X,O,X,X,O,O,
62,X,X,O,X,O,X,X,O,O,
62,X,X,O,X,O,X,X,O,O,X
63,X,,,,,X,,,,
63,X,,,,O,X,,,,
63,X,,,X,O,X,,,,
63,X,,,X,O,X,,,O,
63,X,X,,X,O,X,,,O,
63,X,X,O,X,O,X,,,O,
63,X,X,O,X,O,X,X,,O,
63,X,X,O,X,O,X,X,,O,O
63,X,X,O,X,O,X,X,X,O,O
64,X,,,,,X,,,,
64,X,,,,,X,,,O,
64,X,X,,,,X,,,O,
64,X,X,,,O,X,,,O,
64,X,X,,X,O,X,,,O,
64,X,X,,X,O,X,,O,O,
64,X,X,,X,O,X,X,O,O,
64,X,X,O,X,O,X,X,O,O,
64,X,X,O,X,O,X,X,O,O,X
65,O,,,,,X,,,,
65,O,O,,,,X,,,,
65,O,O,,,X,X,,,,
65,O,O,,,X,X,,O,,
65,O,O,,X,X,X,,O,,
65,O,O,,X,X,X,,O,,O
65,O,O,X,X,X,X,,O,,O
65,O,O,X,X,X,X,,O,O,O
66,X,,,,,X,,,,
66,X,,,,O,X,,,,
66,X,,,X,O,X,,,,
66,X,,O,X,O,X,,,,
66,X,,O,X,O,X,,,,X
66,X,O,O,X,O,X,,,,X
66,X,O,O,X,O,X,,,X,X
66,X,O,O,X,O,X,O,,X,X
66,X,O,O,X,O,X,O,X,X,X
67,X,,,,,X,,,,
67,X,,,O,,X,,,,
67,X,,,O,,X,X,,,
67,X,,O,O,,X,X,,,
67,X,,O,O,,X,X,,,X
67,X,,O,O,,X,X,O,,X
67,X,X,O,O,,X,X,O,,X
68,X,,,,,X,,,,
68,X,,,,,X,O,,,
68,X,,,X,,X,O,,,
68,X,,,X,,X,O,,,O
68,X,,X,X,,X,O,,,O
68,X,,X,X,,X,O,,O,O
68,X,X,X,X,,X,O,,O,O
69,O,,,,,X,,,,
69,O,O,,,,X,,,,
69,O,O,,,X,X,,,,
69,O,O,,,X,X,,,,O
69,O,O,X,,X,X,,,,O
69,O,O,X,,X,X,,,O,O
69,O,O,X,X,X,X,,,O,O
69,O,O,X,X,X,X,,O,O,O
70,X,,,,,X,,,,
70,X,,,,,X,O,,,
70,X,,,X,,X,O,,,
70,X,,,X,,X,O,,,O
70,X,,X,X,,X,O,,,O
70,X,O,X,X,,X,O,,,O
70,X,O,X,X,X,X,O,,,O
70,X,O,X,X,X,X,O,,O,O
70,X,O,X,X,X,X,O,X,O,O
71,O,,,,,X,,,,
71,O,,,,,X,,,,O
71,O,,X,,,X,,,,O
71,O,,X,,,X,,,O,O
71,O,X,X,,,X,,,O,O
