,Training Loss,Validation Loss
86,"tensor(0.6440, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4352, grad_fn=<BinaryCrossEntropyBackward0>)"
87,"tensor(0.6449, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4353, grad_fn=<BinaryCrossEntropyBackward0>)"
88,"tensor(0.6456, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4353, grad_fn=<BinaryCrossEntropyBackward0>)"
89,"tensor(0.6452, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4352, grad_fn=<BinaryCrossEntropyBackward0>)"
90,"tensor(0.6461, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4351, grad_fn=<BinaryCrossEntropyBackward0>)"
91,"tensor(0.6455, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4353, grad_fn=<BinaryCrossEntropyBackward0>)"
92,"tensor(0.6438, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4351, grad_fn=<BinaryCrossEntropyBackward0>)"
93,"tensor(0.6337, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4351, grad_fn=<BinaryCrossEntropyBackward0>)"
94,"tensor(0.6388, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4352, grad_fn=<BinaryCrossEntropyBackward0>)"
95,"tensor(0.6439, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4352, grad_fn=<BinaryCrossEntropyBackward0>)"
96,"tensor(0.6389, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4351, grad_fn=<BinaryCrossEntropyBackward0>)"
97,"tensor(0.6423, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4352, grad_fn=<BinaryCrossEntropyBackward0>)"
98,"tensor(0.6405, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4353, grad_fn=<BinaryCrossEntropyBackward0>)"
99,"tensor(0.6401, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4352, grad_fn=<BinaryCrossEntropyBackward0>)"
