,Training Loss,Validation Loss
80,"tensor(0.4794, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4842, grad_fn=<BinaryCrossEntropyBackward0>)"
81,"tensor(0.4805, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4842, grad_fn=<BinaryCrossEntropyBackward0>)"
82,"tensor(0.4798, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4842, grad_fn=<BinaryCrossEntropyBackward0>)"
83,"tensor(0.4797, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4843, grad_fn=<BinaryCrossEntropyBackward0>)"
84,"tensor(0.4809, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4842, grad_fn=<BinaryCrossEntropyBackward0>)"
85,"tensor(0.4799, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4841, grad_fn=<BinaryCrossEntropyBackward0>)"
86,"tensor(0.4788, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4842, grad_fn=<BinaryCrossEntropyBackward0>)"
87,"tensor(0.4803, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4841, grad_fn=<BinaryCrossEntropyBackward0>)"
88,"tensor(0.4807, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4841, grad_fn=<BinaryCrossEntropyBackward0>)"
89,"tensor(0.4807, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4842, grad_fn=<BinaryCrossEntropyBackward0>)"
90,"tensor(0.4810, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4842, grad_fn=<BinaryCrossEntropyBackward0>)"
91,"tensor(0.4806, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4841, grad_fn=<BinaryCrossEntropyBackward0>)"
92,"tensor(0.4809, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4841, grad_fn=<BinaryCrossEntropyBackward0>)"
93,"tensor(0.4802, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4840, grad_fn=<BinaryCrossEntropyBackward0>)"
94,"tensor(0.4798, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4842, grad_fn=<BinaryCrossEntropyBackward0>)"
95,"tensor(0.4804, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4841, grad_fn=<BinaryCrossEntropyBackward0>)"
96,"tensor(0.4803, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4841, grad_fn=<BinaryCrossEntropyBackward0>)"
97,"tensor(0.4799, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4841, grad_fn=<BinaryCrossEntropyBackward0>)"
98,"tensor(0.4798, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4841, grad_fn=<BinaryCrossEntropyBackward0>)"
99,"tensor(0.4795, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4841, grad_fn=<BinaryCrossEntropyBackward0>)"
